region,site,date,intern_data,burrow_name,visit_type,visits
Whidbey,Swantown,7/25/17,,b.3,gunnels,1
Whidbey,Swantown,7/25/17,,b.3,other,2
Whidbey,Swantown,7/25/17,,b.2,other,1
Whidbey,Lagoon South,7/27/17,,b.2A,sculpin,1
Whidbey,Lagoon South,7/27/17,,b.2A,gunnels,1
Whidbey,Forbes Point,7/27/17,,b.3,noprey,1
Whidbey,Forbes Point,7/27/17,,b.1,noprey,2
Whidbey,Forbes Point,7/27/17,,b.1,sculpin,2
Whidbey,Forbes Point,7/27/17,,b.1,gunnels,1
Whidbey,Forbes Point,7/27/17,,b.1,other,1
Whidbey,Limpet Lane,7/28/17,,b.BB,noprey,1
Whidbey,Limpet Lane,7/28/17,,b.BB,sculpin,1
Whidbey,Limpet Lane,7/28/17,,b.BB,gunnels,1
Whidbey,Limpet Lane,7/28/17,,b.BB,other,2
Whidbey,Limpet Lane,7/28/17,,b.RT,sculpin,1
Whidbey,Limpet Lane,7/28/17,,b.RT,gunnels,5
Whidbey,Limpet Lane,7/28/17,,b.MRT,noprey,2
Whidbey,Limpet Lane,7/28/17,,b.MRT,sculpin,1
Whidbey,Limpet Lane,7/28/17,,b.MRT,gunnels,1
Whidbey,Limpet Lane,7/28/17,,b.MRT,other,1
Whidbey,Limpet Lane,7/14/17,,b.BB,noprey,1
Whidbey,Limpet Lane,7/14/17,,b.BB,gunnels,1
Whidbey,Limpet Lane,7/14/17,,b.MRT,noprey,1
Whidbey,Limpet Lane,7/14/17,,b.MRT,gunnels,1
Whidbey,Limpet Lane,7/14/17,,b.RT,noprey,1
Whidbey,Limpet Lane,7/14/17,,b.RT,gunnels,2
Whidbey,Limpet Lane,7/21/17,,b.BB,gunnels,1
Whidbey,Limpet Lane,7/21/17,,b.MRT,gunnels,1
Whidbey,Limpet Lane,7/21/17,,b.M,gunnels,1
Whidbey,Limpet Lane,7/21/17,,b.RT,gunnels,1
Whidbey,Limpet Lane,7/21/17,,b.RT,other,1
Whidbey,Shore Meadows,7/26/17,,b.2,noprey,1
Whidbey,Shore Meadows,7/26/17,,b.3,noprey,1
Whidbey,Shore Meadows,7/26/17,,b.4,noprey,1
Whidbey,Shore Meadows,7/26/17,,b.11,noprey,1
Whidbey,Shore Meadows,7/26/17,,b.11,sculpin,1
Whidbey,Shore Meadows,7/26/17,,b.12,gunnels,1
Whidbey,Shore Meadows,7/26/17,,b.15PK,noprey,1
Whidbey,Shore Meadows,7/26/17,,b.CV1,noprey,1
Whidbey,Shore Meadows,7/26/17,,b.CV1,sculpin,1
Whidbey,Shore Meadows,7/26/17,,b.CV1,gunnels,1
Whidbey,Shore Meadows,7/26/17,,b.CV2,noprey,1
Whidbey,Shore Meadows,7/26/17,,b.U20,noprey,1
Whidbey,Shore Meadows,7/26/17,,b.L20,noprey,1
Whidbey,Shore Meadows,7/26/17,,b.15,noprey,3
Whidbey,Shore Meadows,7/26/17,,b.33,sculpin,1
Whidbey,Clinton Ferry Dock,7/22/17,,b.2,noprey,19
Whidbey,Clinton Ferry Dock,7/22/17,,b.2,gunnels,1
Whidbey,Clinton Ferry Dock,7/22/17,,b.3,noprey,1
Whidbey,Clinton Ferry Dock,7/22/17,,b.4,noprey,7
Whidbey,Clinton Ferry Dock,7/22/17,,b.4,gunnels,1
Whidbey,Clinton Ferry Dock,7/22/17,,b.5,noprey,6
Whidbey,Mutiny Sands,7/27/17,,b.4,sculpin,1
